Module ID,Module functional association title,Number of unique genes,Illumina Probe IDs,Symbols of member genes
M15.24,TBD,41,"2377430, 1684054, 1659801, 1747347, 1751051, 2150352, 1772208, 1736327, 1787691, 1669888, 1794038, 2319077, 1808707, 1696380, 2384591, 1833478, 2397521, 1795704, 1745110, 1675803, 1790014, 1715863, 2167416, 1732776, 2349124, 1788059, 1656386, 1729691, 1698996, 1678928, 1666453, 1749078, 1743933, 1702759, 1798380, 1794914, 1768110, 2140999, 1745421, 1670377, 1724158","AGPAT2, ASAH1, ATP6V1C1, C17ORF60, C7ORF25, CBWD5, CCDC88B, CDC42EP3, CITED4, CSTA, FAM49A, FAS, FSCN1, GHRL, HN1, HS.188979, JMJD3, KIAA0232, LAPTM4A, LOC285550, METRNL, MLKL, MR1, NUP98, OSBPL2, PCGF5, SEC24D, SLC16A6, SLC19A1, SLCO3A1, STK3, TIMP2, TSHZ3, TXNDC13, UBQLN1, UBTD1, ZAK, ZFYVE16, ZMAT5, ZNF20, ZNF93"
M15.25,TBD,38,"1792825, 2183510, 1774596, 1770085, 1802708, 1719097, 1760556, 2224907, 1657361, 1731107, 2339796, 2256765, 1676588, 1726769, 1656656, 2180239, 2396020, 1794522, 2323944, 1785528, 1808356, 2391861, 2201580, 1811392, 1793384, 1795835, 1696843, 1680774, 2331082, 1692295, 1804327, 2341467, 1731354, 1775939, 1672662, 1754529, 1731194, 1674243, 1726786, 1777881","ARIH2, ARMET, BSCL2, BTG2, BTN3A1, C18ORF8, C1ORF63, C4ORF34, CBX7, CCDC92, CDC16, CDC16, CEPT1, CNDP2, COX19, DOPEY2, DUSP6, EIF5A, FAM110A, FAM39DP, FAM3A, GSTM1, GSTM2, HMHA1, JAK1, LOC338758, LOC613037, LOC730994, MS4A7, MYO1G, NAP1L4, PARL, PARL, SF3B2, SLC20A1, SPG7, STRAP, TFRC, TNRC6B, TSPAN17"
M15.26,TBD,38,"1783956, 1655990, 1743570, 1706498, 1749892, 1683969, 1718977, 1774901, 1662846, 1779547, 1755075, 1686884, 1695246, 1768969, 2353358, 1656361, 1690063, 1676480, 2327090, 1756806, 2202915, 1763828, 1690125, 1652787, 1691508, 2374340, 2408543, 1739622, 1777342, 1665859, 2405797, 2338480, 1671281, 1659255, 1733997, 1807649, 1706217, 2323633, 1814296, 1743646","ATP8B4, CDK5RAP2, CEACAM3, DSE, EGLN1, FKBP1A, GADD45B, GDPD3, GPR160, HPSE, IDI1, IL1RAP, KLHDC8B, LBR, LGALS8, LOC201175, LOC651143, LOC654053, MAEA, MCL1, MLSTD1, MTF1, PDLIM7, PIK3AP1, PLAUR, PLAUR, PLAUR, PPP1R12A, PREX1, RAB27A, REPS2, RHOT1, RNASEL, RP2, SIRPB1, SPOPL, TLR4, TPD52L2, TRPM6, VASP"
M15.27,TBD,40,"1684271, 2167426, 1801923, 1772540, 1696568, 1718520, 2359029, 2169856, 1769757, 1713884, 1712936, 2186678, 2373763, 1743340, 1722583, 1776858, 1782015, 1725314, 2220187, 2157957, 1842286, 1769883, 1730917, 1766000, 2230566, 2067269, 1657950, 1754458, 2126832, 2233099, 1657095, 1702946, 1749253, 1742461, 1655296, 1722855, 1716086, 1778561, 1683854, 2310019","ACBD6, ASPHD2, ATF1, ATMIN, ATP2C1, C10ORF59, C11ORF17, C12ORF43, C14ORF104, C16ORF42, C21ORF66, C6ORF211, CASP7, CHST14, COX4NB, DUS4L, FCRLB, GBP3, GFPT1, GTF2H1, HS.580229, IDE, KMO, PM20D2, RAB40B, RECK, RPS26P10, SDHALP1, SEC24A, SSRP1, STARD3, THUMPD1, TUBD1, UAP1, UTRN, VEGFB, WDR33, WEE1, ZNF484, ZNF565"
M15.28,Oxidative phosphorylation,37,"1686610, 1815666, 1726181, 2404539, 1652207, 1800461, 1811921, 1703564, 1722900, 1798123, 1701375, 1739441, 1700419, 1802706, 2379130, 1776052, 1704793, 1718136, 1812769, 1720438, 1689327, 1776104, 1743582, 1809245, 1802843, 1737862, 1746492, 1770733, 2323366, 1782890, 1706571, 1732810, 1663407, 1751627, 1736751, 1708946, 1741491","APBA3, ATP2A2, C19ORF52, C20ORF30, COX4I1, CSNK2B, CSRP1, DYNLRB1, EIF4A1, ELOVL1, FBXW5, GANAB, HSPC171, IDH3G, IRAK1, LOC148915, LOC339344, LOC440567, LOC51035, LOC653147, LOC730534, NDUFS5, NUDT22, PITPNB, PRCC, PSMB4, RABL4, RIC8A, SDHC, SLC25A3, SLC35D2, SNX17, SURF1, TRAPPC3, VPS26B, VPS4A, ZNHIT1"
M15.29,TBD,35,"2415189, 1653599, 1776181, 1801766, 1744147, 1684321, 1712431, 1668526, 1753745, 1717261, 2066066, 2381397, 1666594, 2404625, 1674983, 1695034, 1677906, 1720745, 1715947, 1683664, 1732089, 2109416, 2044832, 1734826, 1686871, 1719986, 1699856, 2316806, 1799103, 1656537, 2372082, 1809478, 2345872, 1683817, 1669484, 1679655","ATP1A1, ATP5D, BIRC3, CCDC109B, CEBPZ, CYB5B, FAM113B, GVIN1, HDDC2, HLA-DRB3, HLA-DRB6, HSPD1, IRF8, LAT, LOC387841, LOC642817, LOC643287, LOC645385, LOC648210, LOC650369, MGC3207, NAPSB, NOL5A, NUP88, PARP1, PIK3IP1, RALGDS, RWDD1, SNRPB, SNRPN, SNRPN, SSBP1, SUMF2, UBE2Q2, WDR6, WDR82"
M15.30,TBD,36,"1658884, 2192281, 1708340, 1811616, 1765060, 1736510, 2194627, 1770665, 1880425, 1886493, 1808299, 1813635, 2106227, 1737406, 1676075, 1672660, 1674506, 1764207, 1793522, 1696828, 1801121, 1651936, 1807737, 1787415, 2151048, 2384241, 1770742, 1655482, 2351930, 1657679, 1796464, 1704621, 1809951, 2171640, 1743067, 1743643","ATP11B, CARD8, DAPK1, EEPD1, FBXO34, FOXN2, GMCL1, HERC4, HS.46506, HS.535028, IQSEC1, KIAA1429, KIAA2026, KLF6, KLHL12, MBP, MED23, P15RS, PRKAB1, RGS14, SENP2, SETD8, SFRS17A, SNX16, STAG1, TGFBR2, TMEM55B, TRIM27, TRIM33, VAV3, WDR37, WDR44, ZNF200, ZNF650, ZNF701, ZXDC"
M15.31,TBD,35,"1669633, 2358626, 1681340, 1685580, 1778371, 1703718, 1711702, 1706238, 1714167, 1653504, 1813240, 2377496, 1677483, 1727309, 1801348, 2101920, 1815168, 1732296, 1678808, 1786359, 1744835, 1799289, 2348090, 1655913, 1767848, 1694177, 1696087, 1690546, 2395474, 1771593, 1800626, 1764087, 1664231, 1671494, 1743097, 1654946","ACP1, ADK, C1ORF41, CBLB, CCBL2, CCT7, CLEC2D, CSE1L, CYB5A, EDG1, EIF1AX, ERCC1, EXOSC1, FAM82C, GOT2, HNRPH1, HVCN1, ID3, KIAA0831, LOC346950, MRPL21, MRPL55, MRPL55, NUCB2, PCMTD2, PCNA, PHB2, PPP3CC, REV1, RRM1, SESN1, SYPL1, TIMM23, USP5, XRCC6, ZSCAN18"
M15.32,TBD,36,"1666019, 1755049, 1793572, 2270100, 2057981, 1779663, 2394750, 1683786, 1712469, 1804539, 1657288, 1741406, 1820295, 1821270, 1881526, 1818149, 1797375, 1765212, 1782753, 1667932, 1660343, 1699575, 1770498, 1724017, 1670539, 1677186, 1725441, 2326675, 1677221, 1689007, 2215862, 2133534, 1753567, 2215211, 1658080, 1727183","ADNP, ANKRD44, C21ORF81, C6ORF204, C8ORF70, CXORF34, EXOC4, FYTTD1, GOLGA8A, GPR89B, GUSBL2, HOOK1, HS.145444, HS.534437, HS.545615, HS.555252, KLF12, LARP2, LOC153684, LOC652726, LOC653080, LOC653598, LOC728411, LOC732450, LOC92017, MGC52498, NFATC2IP, NR2C1, PTCD2, SFRS14, SLFN13, SMA4, ZNF451, ZNF514, ZNF573, ZNF763"
M15.33,TBD,35,"1794825, 2255133, 1657446, 2411127, 1680738, 1688621, 1762002, 1794588, 2387952, 2154052, 1669927, 1703041, 2097858, 1658460, 1812721, 1806818, 1804851, 1775008, 2232430, 1784467, 1720865, 2321578, 1747451, 1687864, 2399431, 1724489, 1762003, 1714327, 1701058, 2402272, 1708382, 1692511, 1689059, 1772876, 1792972","ALDH3A2, BCL11A, C1ORF57, C21ORF57, C5ORF13, C9ORF80, CSTF3, DYRK2, FAM134B, FVT1, ICOS, IDUA, KIAA1737, LOC653884, LOC728014, MCM3, MRPS17, NCAPD2, NMD3, NUP210, OSBPL7, P2RY10, PLCXD1, POP5, PRPS2, RFC4, SEC62, SETD1A, TATDN1, TCEAL8, TMEM103, TMEM106C, ZNF329, ZNF395, ZNF439"
M15.34,TBD,34,"1723177, 1718023, 1665554, 2374076, 1655225, 1801600, 1719433, 1685551, 1658411, 2078334, 1660551, 1708077, 1671326, 1686929, 1798546, 1673711, 1813572, 1784333, 1693293, 2358652, 1658759, 1785336, 1688000, 1762766, 2375319, 1663090, 1789510, 1690085, 1756590, 1689868, 1673275, 1761069, 1789243, 1753885, 1665423","ANAPC5, APEH, BRF2, C14ORF102, C19ORF25, CCDC97, CD1D, CHD4, CHD4, CNOT10, CRAMP1L, DAXX, EIF2C1, GPATCH3, HDAC6, HSP90AB1, IL16, KIAA0256, LOC648176, NXF1, PEX19, PMM2, POLDIP3, PTPRA, RASGRP2, SON, STIP1, STK11IP, SYS1, TMEM80, TRAPPC2, UVRAG, VPS33B, YTHDF1, ZFP91"
M15.35,Neutrophil,33,"1792473, 1678143, 1768394, 2118472, 1797604, 1673363, 1772686, 1711617, 2203950, 1778401, 1765258, 1708375, 1654396, 1703949, 1772359, 1662932, 1803988, 1659895, 1722872, 1773154, 1669273, 1806908, 2344204, 2355559, 1749109, 2338997, 1709795, 1739792, 1711383, 1693311, 2148819, 1697448, 1782538, 2058251, 2054928","AIF1, ARHGDIB, ARPC5, C10ORF58, CAP1, CD97, FGD3, GMFG, HLA-A, HLA-B, HLA-E, IRF1, ITGB2, KPNB1, LAPTM5, LCP1, MCL1, MSN, MYH9, NFKBIA, PPT1, PRKCB1, PRR13, PSAP, PSAP, PTP4A2, RAC2, RHOG, STK4, TEGT, TUBA1A, TXNIP, VIM, VIM, XPNPEP3"
M15.36,TBD,34,"1749014, 1663313, 1752837, 1661500, 1741331, 1700257, 1770244, 1790625, 1742250, 1736002, 1658992, 1766762, 1776021, 1790062, 1769702, 1734740, 1664931, 1662243, 1815303, 1697665, 1723962, 1757287, 1706841, 1751984, 1808305, 1689329, 1765409, 1792176, 1661173, 2344850, 2085922, 1782635, 1670895, 1773247","ACLY, AMY1C, ARL8B, B4GALT4, C14ORF108, C4ORF32, CBX1, CBX3, CCNH, COPS5, DPM1, DYNLRB1, EIF4H, FAM105B, GPAA1, GPR65, GTF2E2, ING1, LOC642197, LOC653972, LXN, MAPK6, PGAM4, PRKAG1, RTCD1, SCD, STAM, TADA3L, TRIP4, VPS26A, WRB, YARS2, ZNF207, ZNF410"
M15.37,Inflammation,33,"1736700, 2380418, 2326713, 2292178, 1810725, 2366330, 1740875, 1746525, 1757074, 1662799, 1792689, 1735367, 1775501, 1803560, 1769705, 1654518, 2231928, 1796642, 2119937, 2119945, 1682165, 1691717, 2320906, 1679133, 1766045, 2364022, 2406501, 2159453, 1683494, 1801307, 2260991, 1758864, 2337655, 1664802","ALDOA, BICD2, CD151, CLEC12A, FAM129A, FERMT3, FPR2, FTHL2, GNG10, GPSM3, HIST1H2AC, HSD17B11, IL1B, LAT2, LOC440093, LRCH4, MX2, NCF2, NDUFB3, NDUFB3, NT5C2, RHBDF2, RTN3, SERPINB1, SH3GLB1, SLC16A3, SOD2, STXBP2, TMEM154, TNFSF10, TSPO, VNN2, WARS, WSB1"
M15.38,T-cell,32,"1794213, 2128967, 1751559, 1672807, 1726589, 1688959, 1739794, 1782729, 1715555, 1685930, 2168217, 2401779, 2091412, 1691567, 1729170, 1661266, 1915076, 1836218, 1800311, 2342579, 1692790, 2076602, 1651403, 1749612, 2263144, 2382906, 1740160, 1768958, 1776653, 1770768, 1760109, 1782938, 1789244","ABHD14A, C11ORF1, C16ORF30, CA5B, CD248, CD27, CD3E, CLECL1, DBP, DPH4, EBI2, FAM102A, FLT3LG, GNPDA2, GPA33, HLA-DQB1, HS.355933, HS.481464, HSF2, IL7R, ITGB3BP, ITM2A, LOC642161, LOC729101, MGC3196, PLCG1, PLCG1, RASGRP1, SCML1, SLAMF1, SLAMF6, SLC16A10, SOX8"
M15.39,TBD,32,"1672878, 1792314, 1754738, 1769250, 2398432, 1732885, 1724897, 1795286, 1684789, 2320336, 1753498, 2379469, 1729430, 1707308, 1668535, 2376205, 1674874, 2147251, 1759991, 2206344, 1712705, 2209766, 1777906, 1803398, 1805449, 1808110, 1712035, 1697409, 1695731, 1659703, 1679358, 1669094","ABR, ACTR1A, AP1M1, ARFGAP2, BRMS1, BTBD12, C14ORF93, C6ORF47, CCDC101, CLK3, COASY, EIF3B, FBXO18, IKBKG, JOSD1, LTB, MFSD10, MGC10997, MGC3731, NDST2, RAB40C, RHBDD1, RPRC1, SRF, TAPBPL, TCEB3, TMEM115, TNFRSF14, TUBG1, WWP2, ZDHHC5, ZNF672"
M15.40,TNF,31,"2401730, 1790202, 2110496, 2352326, 1772991, 1652024, 1665655, 2100000, 1717173, 2404629, 1805979, 1652762, 1735548, 1862521, 1911605, 1806023, 2081398, 2408400, 1772743, 2363621, 1810436, 1765082, 2367239, 2146566, 1742705, 1667707, 1661664, 1696870, 2212590, 1770388, 2386179","C1GALT1C1, C1ORF35, C21ORF91, COASY, CSGLCA-T, CSNK1G3, CTDSPL2, DHX36, ECT2, EFTUD1, GAB3, HIC2, HIVEP1, HS.125056, HS.334831, JUN, KIF3B, NSUN5, PIGK, RBBP8, RBJ, RBM10, RCAN1, SFRS16, SLC39A11, SPCS3, SRRM1L, TGFBRAP1, TMEM170, VPS39, ZMYND8"
M15.41,TBD,31,"1803376, 1770378, 1710979, 2224486, 1735199, 2181060, 1762316, 1740861, 1815933, 1747078, 1752273, 1743755, 1791190, 2328378, 1714384, 1798395, 1701482, 1670037, 1694502, 1724708, 2106167, 1762787, 1741976, 1815745, 1685371, 1806946, 1729563, 1662065, 1687884, 1712517, 2151075","AEBP2, ANAPC10, ANKRD39, C3ORF14, CIAPIN1, CKAP2, CPSF3L, DTWD1, FTSJ2, HYLS1, KIAA1143, LOC441150, MUSK, OSBPL3, PCCA, PIGH, POFUT2, POLR2L, PRIM1, RAB33A, RAP1GDS1, RNF26, SMARCAD1, SOX4, SUMF2, UBTF, UGDH, WDR92, ZNF2, ZNF696, ZNF821"
M15.42,TBD,30,"2411264, 1730433, 1791568, 1800837, 2129715, 2399877, 1682233, 1808584, 2388585, 2197846, 1745447, 1791575, 1908989, 1772658, 2110908, 1693334, 2057826, 1705468, 1768582, 1724490, 2097185, 1766085, 1688413, 1669215, 1748481, 1743131, 1651872, 1781039, 1691395, 1753790","BTBD1, CD2AP, CEP57, CFDP1, COG3, COG5, ESCO1, FAM36A, GOPC, HADHB, HIVEP2, HNRPLL, HS.536748, KIAA0947, MYC, P4HA1, PHF3, PIK3CA, PPP2CB, PSPC1, PUS3, REL, SNW1, SRPK2, TMEM199, TOX4, UBIAD1, VPS26, ZBTB11, ZNF259"
M15.43,TBD,30,"2359601, 1771664, 1806733, 1724474, 1722025, 1790781, 2280548, 1712721, 1801043, 1701403, 1687947, 1721127, 1845157, 1770994, 1661647, 1766487, 1654685, 1804738, 1744023, 2380605, 1713031, 2117623, 2340217, 1809850, 1696419, 1690754, 2234412, 1791511, 1661343, 2324421","CAMK2G, CLEC4E, COL18A1, COP1, CPEB4, DHRS13, FYB, GAST, GSN, HIP1, HIST1H2BE, HIST1H3D, HS.467586, LOC440900, LOC646144, LRRC25, MCTP1, MEFV, MGC18216, MTMR3, PGCP, PLXNC1, PTPRC, RCN3, STOM, SVIL, TLE3, TMEM176A, TNFSF14, TXNRD1"
M15.44,TBD,28,"1664016, 1751097, 1813836, 1750075, 1794967, 2130514, 1797342, 1865764, 1674458, 1682873, 1704431, 1751941, 1662130, 1691480, 2142117, 1761155, 1813657, 1694084, 2333319, 1655154, 1681675, 1681543, 1814247, 1750718, 1783753, 1664175, 1760360, 2344047, 1742541","ARHGEF18, CREB3L2, DARS, DMTF1, EIF4ENIF1, FAM76B, FNBP1, HS.371609, KLHL7, LOC388474, LOC554203, LOC728772, LOC730316, LONP2, LYPLAL1, PABPC1, PHF20, PSCD1, PTBP1, PTBP1, RBM16, RHBDD1, TCFL5, TNRC15, TXNDC12, VAMP4, ZNF294, ZNF398, ZNF518A"
M15.45,TBD,29,"1684042, 1655485, 1804884, 1761101, 1790555, 1674411, 1768640, 1656185, 1742866, 1726930, 1662359, 2169439, 1756525, 1760792, 1694752, 1757026, 1675359, 1680239, 1791483, 1797576, 1778890, 1760575, 2381138, 1673369, 1726288, 1669553, 2349006, 1711139, 1761086","BET1, C1ORF124, C22ORF39, CCDC112, CCDC146, CKAP2, CRNKL1, DEF8, F2R, FLJ13611, HIST1H4K, ITGAV, KLHL20, KLHL7, LOC727726, MANEA, NKAP, NUDT9, PDE4D, PLEKHA3, PPIL5, PTP4A1, SEH1L, SEPHS1, TMEM106B, UBE2E3, USP21, VPS37A, VPS54"
M15.46,TBD,27,"1712944, 1734742, 1679178, 1678052, 2379644, 1736567, 2396410, 1689446, 1654289, 2359453, 1746378, 1720799, 1652825, 1796968, 2336109, 1711853, 1749709, 1796900, 1768284, 1810467, 1685002, 1691843, 1758823, 1661337, 1736575, 1771057, 1810147, 1736577","AES, ARHGDIA, ATP5D, C19ORF24, CD74, CD74, CS, EIF3G, ELK1, ERGIC3, GHDC, GPSN2, IL10RA, INTS5, L3MBTL2, MED24, NDUFB11, NUDCD3, P2RY8, PPP2R1A, RCE1, RNPS1, SMARCB1, SRM, TRIM28, XAB2, ZNF524, ZNF688"
M15.47,Antigen presentation,28,"1734483, 1651504, 2137464, 1727761, 1671054, 2186806, 2130441, 1699362, 1744212, 1847822, 1681590, 1763882, 1799819, 2126957, 2088847, 1759326, 1771832, 1783350, 2367707, 2154115, 2403994, 1753008, 1697554, 1692575, 2162860, 1788211, 1713759, 1721575","BSDC1, C4ORF8, DVL3, GMEB1, HLA-A, HLA-F, HLA-H, IK, INPP5D, KIAA0368, LARP1, LOC644634, MARS, NOMO1, OTUD5, P2RX7, PARP6, PCNXL3, PKN1, PSD4, RALY, REXO1, SASH3, SFRS8, SLFN11, SNX19, UBE2J1, VPS18"
M15.48,TBD,27,"1784269, 1757660, 1774930, 1775508, 1678904, 1720059, 1843949, 1699521, 1728048, 1657011, 1719694, 1798826, 2379080, 1815924, 1708203, 1799860, 1721729, 1697793, 1694888, 1712634, 1772316, 1662686, 1782352, 1689456, 2373099, 1777049, 1685365","AASDH, CAPS, CDC14A, CYLD, ENO3, HMBOX1, HS.194225, KIAA1641, LOC158160, LOC286208, LOC729446, MRPS25, NFATC2IP, NUP107, OTUD4, PIGM, PPARBP, SYNJ2BP, TAF2, TIA1, UNC84A, USPL1, VENTX, ZBTB20, ZCCHC11, ZNF160, ZNF773"
M15.49,TBD,27,"1666096, 2188204, 1775743, 1745497, 1689123, 1693766, 1773200, 1805344, 1856861, 1906187, 1768814, 1764186, 1692517, 1810176, 2096604, 1734542, 1802669, 1675038, 1682095, 2247664, 1796855, 1810729, 1703379, 1677098, 1792951, 2217212, 1786396","ACSL3, ATG12, BTG1, C12ORF26, CCNK, CEP135, CP110, DDX5, HS.445036, HS.576106, KLHL6, LOC146517, LOC653381, MAP3K7, NIP30, OVGP1, PPP3CB, PRMT2, RCOR3, SON, TIAL1, UBL3, VPS41, YPEL2, ZHX2, ZNF564, ZZEF1"
M15.50,TBD,27,"2302716, 2122176, 1735058, 1801378, 1761450, 1732688, 1729167, 2146761, 2368617, 2383305, 1678037, 1696485, 1673753, 1807492, 1737991, 1697614, 2284591, 1680193, 2075436, 1695386, 1653861, 1811933, 1749478, 1735093, 1684346, 1737271, 1726842","ALDH18A1, C12ORF31, CHST12, COQ3, DHRS4L2, DUT, EFTUD1, FABP5, FKRP, GPATCH4, HIRIP3, HNRNPAB, LOC642033, LOC643668, LOC650298, NHP2L1, OPA3, PAXIP1, PDIA3P, RAD51C, SCMH1, SHMT1, TCEAL3, TIMELESS, TNFAIP8L1, TTC16, TYW3"
M15.51,Protein Synthesis,26,"1769118, 1719224, 1699071, 1795227, 1726169, 1685722, 2323048, 1687538, 1681703, 2309848, 1699931, 2075334, 1772218, 1686367, 1659550, 1700316, 1695598, 1672961, 1661170, 2290808, 1755115, 1731546, 1709880, 1796712, 2046730, 1665280, 2124769","C17ORF45, C21ORF7, DNCL1, EDF1, EIF4A2, ERP29, ETS1, FOXO3, FXYD5, HCST, HIST1H4C, HLA-DPA1, HSPA8, LOC388654, LOC440055, LOC441775, LOC652624, NDUFB8, RPL21, RPL23, RPL26, RPLP0, S100A10, S100A10, SEPT9, SPCS1, YBX1"
M15.52,TBD,27,"2094875, 2198408, 2053829, 1737195, 1661653, 1704472, 2140799, 2368773, 1666122, 1862001, 1872404, 1748258, 1708905, 2320480, 1658858, 2356890, 1778677, 1755983, 1702073, 1772703, 1688630, 1784584, 1722156, 1722423, 1772700, 1669940, 2309926","ABCB1, C2ORF33, CBLN3, CENPK, DET1, EID2, FAM24B, FAM3C, HEG1, HS.133324, HS.478682, LINS1, LOC374443, LOC400464, LOC93349, MRPL42, MRS2, NFATC3, ODF2L, OTUD6B, RECK, RINT1, RWDD2A, SHPRH, TMEM18, TMEM38B, ZDHHC14"
M15.53,Erythrocytes,25,"1774134, 2273447, 1724183, 1804618, 2323427, 1694476, 1741483, 2392080, 1702738, 1690616, 1735179, 1774380, 1815238, 1680777, 1785141, 1743232, 1793915, 1670570, 1741632, 2047112, 1695058, 1806349, 2231051, 1705750, 1770387, 1710303, 1753165","BRD4, C16ORF35, CDKL1, DPM2, EPB41, HMBS, HPS1, IQWD1, KLC3, LOC643008, LOC648434, LOC650898, MAP2K3, MAP2K3, MICAL2, MICALCL, MXI1, MXI1, RAB3IL1, RP11-529I10.4, SLC38A5, SLC6A8, TCP11L2, TGM2, TMPRSS9, TTC25, WNK1"
M15.54,TBD,26,"1779374, 2105923, 1756877, 2341690, 1760628, 1744647, 1658504, 1669818, 2223941, 1811181, 1720440, 1886769, 1764861, 1703226, 1660635, 1704554, 2372379, 2118229, 1802151, 1714158, 1786050, 1709265, 1750981, 1748884, 2174729, 2366490","AMMECR1, C12ORF32, C14ORF179, C17ORF81, C9ORF86, CAND1, CHKA, ESD, FBLN5, FLJ20444, HEL308, HS.572538, ISOC1, KTI12, LACTB2, LOC648470, MGA, NAPEPLD, OSBPL5, PON2, RBBP9, RNF170, SLC25A26, TOB2, ZNF318, ZNF706"
M15.55,Protein phosphorylation,24,"2085760, 1697742, 1652790, 1746396, 1757350, 1705663, 1761147, 1741032, 1869897, 1662128, 1788160, 1813801, 1721659, 1815205, 1783702, 1688071, 1716704, 2313856, 1782922, 1763347, 1657423, 1799853, 1669598, 1781457, 1661142, 1741869","ARPC1B, C3ORF38, CLK1, CTNNB1, CTNNB1, DMXL2, GABPB2, HERC3, HS.24119, ISY1, KIF5B, LOC643668, LOC643668, LYZ, MORC3, NAT1, NLRC5, OSBPL9, PDE4B, PIK3CB, SPG21, SPTLC1, SUV420H1, TIPRL, TMF1, WDR47"
M15.56,TBD,25,"1672356, 1807003, 2393497, 1778625, 1675124, 1733249, 1708414, 1841622, 1914515, 1803743, 1796206, 1665332, 1771048, 2259633, 1733615, 2155719, 1797594, 1706825, 1655922, 1734855, 1776077, 2363392, 1786347, 2072973, 1747759, 2415748","ANKRD13D, ANXA11, ATXN3, CD44, DDX17, GNB4, GNL3L, HS.371006, HS.82028, LOC196752, LOC642678, LOC653157, LOC728153, MLL5, MTF2, NBPF10, NFAT5, PKN2, SAPS2, SELPLG, SF1, TNFSF14, TNPO1, TOP3A, WSB1, WSB1"
M15.57,TBD,26,"1738652, 2363489, 1734440, 1754894, 1666385, 1798980, 1718309, 1767020, 2304624, 1754912, 1819494, 1735735, 1778381, 1806017, 2189936, 1712887, 2062754, 1773901, 1749345, 1709334, 1674421, 1719039, 2348403, 1706706, 1741300, 1776109","BAD, BRE, C14ORF133, C1ORF162, CALM3, CAPZB, COX15, DENND1C, EIF4H, GLE1, HS.406106, KATNB1, LOC650029, PSME1, RPL36AL, SLC10A3, SRA1, STX12, STX5, TM9SF1, TM9SF4, UBE2G1, VRK3, WDR68, ZNF407, ZNF622"
M15.58,B-cell,22,"2388955, 1652777, 1702229, 1755873, 2348487, 2112580, 1670322, 2399769, 1660549, 1719988, 1891939, 1914473, 1771482, 1678170, 2386008, 1693192, 2054297, 1677511, 1658706, 1785615, 1786847, 2358560, 1749287, 1785821, 2387680, 1804935","C1ORF183, CDC42EP2, CECR6, EMR3, EMR3, FCGR3A, FCHO2, GPR177, GPR177, HAL, HS.523076, HS.582263, KIAA1324, MME, MPZL1, PI3, PTGS2, PTGS2, ST6GALNAC2, SUMO1P1, TGM3, TIAM2, TLR6, TTRAP, VNN3, VNN3"
M15.59,TBD,24,"1679188, 1658337, 1780268, 1658743, 2290998, 1687825, 1665235, 1679912, 2349610, 1715013, 2098437, 2321301, 1873075, 2062468, 1721651, 1733666, 1708721, 1700896, 1673357, 1781231, 1719905, 1739573, 1752741, 1786139, 1695092","ATP5S, C1ORF108, C1ORF56, CCNDBP1, CCS, CD226, CRTAP, DPH3, DPH3, ERMAP, FAM10A4, GRIN1, HS.569831, IGFBP7, LOC646463, PLDN, RABGAP1L, SAP30, SLA2, SLC25A38, TLR10, TNRC6A, TRIM23, VKORC1, WRB"
M15.60,TBD,25,"1728435, 1702526, 1783996, 2331658, 2115633, 1783285, 1703279, 1753627, 1697736, 1851492, 1846776, 2212999, 1754249, 1814589, 1806010, 1743065, 2357777, 1809963, 1656129, 1726520, 2131336, 1721316, 1788783, 1760102, 1804263","C12ORF45, C17ORF48, C1ORF176, C3ORF17, CD320, CTPS, CXORF57, DOLK, EXOSC2, HS.374278, HS.436879, KIF5C, LOC442535, LOC728037, PARC, PTPLAD1, RNF214, RSAD1, SLC39A10, TDP1, TMEM194, TNFRSF10A, TRAM2, ZNF550, ZNF76"
M15.61,Monocytes,25,"1709348, 1724040, 2285568, 1795918, 2403237, 2169761, 1762899, 1779147, 1714349, 2316386, 1730816, 1790881, 1652065, 1656938, 1784651, 1684982, 1690566, 1660880, 1756595, 1787718, 2199768, 1655987, 1718607, 1808587, 1786722","ALDH1A1, ANKRD57, ASAHL, CENTG3, CHN2, CPNE8, EGR1, ENC1, GLCE, GPBAR1, GPR162, HNMT, KCNMB1, LOC731486, NAGA, PDK4, RASSF4, RNH1, SH3TC1, SLC27A1, SLITRK4, STAB1, TSPAN4, ZFHX3, ZNF385A"
M15.62,TBD,25,"2234343, 1797974, 2120022, 1735006, 1727078, 2193498, 1677292, 1688103, 1758895, 1811121, 1790917, 2134555, 1691946, 2348243, 1807095, 1686392, 1760855, 1683916, 1764091, 2230577, 1696622, 1700487, 1723542, 1759017, 1714848","ACP6, AIG1, ARL5B, ATG2B, C17ORF37, C1ORF25, C5ORF30, CTNNBIP1, CTSK, CXORF39, HOM-TES-103, KCTD3, LOC134145, LYK5, MRPS36, NAG, OCRL, PEX13, R3HDM2, RABGEF1, SLC38A6, TOP3A, ZNF137, ZNF333, ZNF354A"
